Испытание;1
Время;10:15:23
Оператор;Скориков И.А.
Серийный номер;12364
Наименование;Нива
Тип привода;Мотор 1
Направление;Прямое
Продолжительность;180
Скорость;500
Температура 1;70
Температура 2;70
Температура 3;70
Температура 4;70
Температура 5;70
Температура 6;70
Температура 7;70
Температура 8;70
Испытание;2
Время;15:20:30
Оператор;Скориков И.А.
Серийный номер;666
Наименование;Hellcat
Тип привода;Мотор 1
Направление;Прямое
Продолжительность;30
Скорость;820
Температура 1;65
Температура 2;56
Температура 3;65
Температура 4;56
Температура 5;65
Температура 6;65
Температура 7;65
Температура 8;56
